iter	Accuracy	MultiClass
0	0.9507042254	1.013499811
1	0.9718309859	0.9256878925
2	0.985915493	0.8499580879
3	0.985915493	0.7873420072
4	0.985915493	0.7335166265
5	0.985915493	0.6862576517
6	0.985915493	0.6428208757
7	0.9929577465	0.5940224223
8	0.9929577465	0.5652972345
9	1	0.5284184614
10	0.9929577465	0.4934983746
11	0.9929577465	0.4637000548
12	1	0.4413590352
13	1	0.4194871096
14	1	0.4005842291
15	1	0.3785754126
16	1	0.3591052299
17	1	0.3406847824
18	1	0.3245782807
19	1	0.3090309153
20	1	0.2936964881
21	1	0.2808889901
22	1	0.2714324443
23	1	0.2615388046
24	1	0.2538494243
25	1	0.2439342777
26	1	0.2341474513
27	1	0.2260260796
28	1	0.2178909062
29	1	0.2096615224
30	1	0.2019029683
31	1	0.1942969307
32	1	0.1873727117
33	1	0.181041694
34	1	0.176485189
35	1	0.171198267
36	1	0.1664450543
